,0,1
0,0.431384,0.45297262
1,0.49275276,0.48261374
2,0.404165,0.5655967
3,0.5002429,0.6169719
4,0.3705589,0.6907952
5,0.48601493,0.73336315
6,0.38859424,0.7930156
7,0.47478855,0.8469723
8,0.3729261,0.9233061
9,0.46240216,0.98305213
10,0.37639645,1.0128366
11,0.44245258,1.0943091
12,0.37244394,1.1527647
13,0.42162436,1.2197225
14,0.3612609,1.2672952
15,0.42515588,1.3254881
16,0.3702058,1.3901324
17,0.40034908,1.4318821
18,0.32164574,1.5057176
19,0.40696463,1.572064
20,0.29358166,1.6663283
21,0.39719224,1.6985358
22,0.2981855,1.8026516
23,0.41225982,1.8471835
24,0.29520452,1.9002904
25,0.40383035,1.983195
26,0.317242,2.042733
27,0.39702833,2.1098528
28,0.31596512,2.2183502
29,0.3926977,2.2525797
30,0.30677423,2.3196266
31,0.38811302,2.395092
32,0.31874996,2.480985
33,0.41293192,2.5365887
34,0.30045852,2.633588
35,0.4109528,2.6888523
36,0.30922887,2.7819636
37,0.40227872,2.8487687
38,0.2938419,2.9265103
39,0.39974308,2.996993
40,0.29886565,3.075372
41,0.38781738,3.139275
42,0.28507587,3.2377985
43,0.40055746,3.3007512
44,0.30723587,3.3672762
45,0.4039202,3.4577153
46,0.2952431,3.5421023
47,0.37311357,3.6231794
48,0.29844207,3.7073977
49,0.38801703,3.7732038
50,0.3204694,3.8942428
51,0.39104706,3.936072
52,0.3101705,4.039897
53,0.40210998,4.102779
54,0.30200726,4.1852465
55,0.41101217,4.2763357
56,0.33816674,4.3508058
57,0.4017498,4.4314017
58,0.3075189,4.520738
59,0.40903565,4.620002
60,0.31944624,4.6972733
61,0.40611434,4.7991686
62,0.31252718,4.869327
63,0.38895747,4.9376526
64,0.3283374,5.0328746
65,0.43286622,5.123454
66,0.34208378,5.214411
67,0.41537887,5.254706
68,0.3333961,5.3923645
69,0.42482272,5.460358
70,0.32111877,5.53312
71,0.43765968,5.635416
72,0.3348715,5.7351484
73,0.44303024,5.818031
74,0.35751566,5.88484
75,0.43827257,5.963172
76,0.3768243,6.0476303
77,0.47249544,6.143864
78,0.36712983,6.249145
79,0.46535772,6.3010263
80,0.3895469,6.3911486
81,0.43979183,6.471308
82,0.37463865,6.5422225
83,0.4595393,6.6370482
84,0.3722181,6.736681
85,0.46846327,6.806939
86,0.3756406,6.891415
87,0.46966493,6.954122
88,0.39379144,7.0473204
89,0.47397584,7.12117
90,0.36909914,7.198798
91,0.4751641,7.2737856
92,0.38150233,7.3525877
93,0.4836153,7.424596
94,0.3861138,7.517279
95,0.47338974,7.6163144
96,0.39472288,7.6452565
97,0.48481146,7.750571
98,0.40926915,7.851252
99,0.5129038,7.916372
100,0.41236117,7.975352
101,0.49898952,8.045028
102,0.4005623,8.112443
103,0.50228584,8.202801
104,0.39038455,8.235565
105,0.477089,8.323967
106,0.40868503,8.401481
107,0.47636724,8.460151
108,0.38655695,8.5060005
109,0.48283964,8.622102
110,0.39325246,8.657221
111,0.4813004,8.724511
112,0.38301423,8.7763405
113,0.49414843,8.842427
114,0.41296536,8.903622
115,0.4798061,8.983688
116,0.4022258,9.016178
117,0.49026597,9.113049
118,0.37122247,9.147779
119,0.47045338,9.201034
120,0.39401722,9.256028
121,0.4738901,9.328401
122,0.3930458,9.362559
123,0.47548646,9.406886
124,0.35949183,9.452455
125,0.4690718,9.515362
126,0.37096167,9.5613165
127,0.44580078,9.624451
128,0.62356395,0.4394629
129,0.6987361,0.47952333
130,0.6105144,0.56128824
131,0.670019,0.60763437
132,0.58297247,0.66809046
133,0.657393,0.7027537
134,0.5542479,0.7819073
135,0.6484387,0.8149578
136,0.5589777,0.8993493
137,0.6166451,0.9345752
138,0.5285821,1.0202415
139,0.63537556,1.0398632
140,0.5059545,1.1235198
141,0.61873955,1.1884382
142,0.50397074,1.2512026
143,0.63879627,1.3251108
144,0.5234653,1.3717631
145,0.6200607,1.4134785
146,0.5139708,1.5177277
147,0.61458087,1.5485619
148,0.5051026,1.6467438
149,0.5926509,1.6679413
150,0.5044418,1.7651718
151,0.5775596,1.8261054
152,0.49755841,1.8994502
153,0.5852648,1.9491558
154,0.4712342,2.0343554
155,0.5823534,2.0919042
156,0.4713894,2.1729019
157,0.57066953,2.2115948
158,0.47720975,2.301513
159,0.5586293,2.3608985
160,0.47335005,2.4581425
161,0.5661172,2.525485
162,0.4791451,2.6051786
163,0.58446825,2.6661267
164,0.48052204,2.7711117
165,0.5828892,2.8118854
166,0.46802276,2.8938441
167,0.585902,2.966482
168,0.46791604,3.0519536
169,0.5531502,3.1412911
170,0.48560485,3.2003067
171,0.5664936,3.2993488
172,0.48149133,3.374329
173,0.5690247,3.439915
174,0.4883802,3.510858
175,0.57107466,3.6052315
176,0.480941,3.6871617
177,0.57752985,3.7507927
178,0.4877008,3.8578928
179,0.5740144,3.923132
180,0.47818744,4.0113754
181,0.5672561,4.1041727
182,0.46866956,4.1731596
183,0.58370954,4.272976
184,0.4700114,4.347373
185,0.59552646,4.434369
186,0.4755957,4.5303936
187,0.56261414,4.5860434
188,0.4950928,4.688783
189,0.58493286,4.7806373
190,0.48171937,4.86739
191,0.5816329,4.938682
192,0.49207842,5.0462546
193,0.608977,5.1134443
194,0.50040483,5.206664
195,0.5830908,5.2970066
196,0.5219424,5.3825364
197,0.610946,5.4441605
198,0.51824987,5.573772
